permissions	size	month	day	year	filename
-rw-r--r--		296	Jan	21	2020	./nj_bills.iml
-rw-rw----		39526	Feb		3	2020	./scrape/s3/tmp/billPageLister-207.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1009.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-657.html
-rw-rw----		39752	Feb		3	2020	./scrape/s3/tmp/billPageLister-342.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-712.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-968.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-591.html
-rw-rw----		39267	Feb		3	2020	./scrape/s3/tmp/billPageLister-14.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-987.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-600.html
-rw-rw----		39198	Feb		3	2020	./scrape/s3/tmp/billPageLister-250.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-745.html
-rw-rw----		39092	Feb		3	2020	./scrape/s3/tmp/billPageLister-315.html
-rw-rw----		38724	Feb		3	2020	./scrape/s3/tmp/billPageLister-43.html
-rw-rw----		39018	Feb		3	2020	./scrape/s3/tmp/billPageLister-196.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-895.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-483.html
-rw-rw----		39673	Feb		3	2020	./scrape/s3/tmp/billPageLister-179.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-529.html
-rw-rw----		39792	Feb		3	2020	./scrape/s3/tmp/billPageLister-246.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1048.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-616.html
-rw-rw----		39345	Feb		3	2020	./scrape/s3/tmp/billPageLister-303.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-753.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-883.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-929.html
-rw-rw----		39358	Feb		3	2020	./scrape/s3/tmp/billPageLister-180.html
-rw-rw----		38729	Feb		3	2020	./scrape/s3/tmp/billPageLister-55.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-495.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-641.html
